ID_Cliente,Motivo,Education,Cidade,Renda_anual,Aulas,NPS,Num_Aulas,Ano_de_nascimento,Banheiros_na_casa,Quartos_na_casa,motivo_na,renda_na,Quartos_Banheiros,faixa_idade,Renda_anual_imputada
0,Viagem,Graduação,São Paulo,58138.0,Ingles,4,19,1983,3,4,False,False,4Q_3B,1980s,58138.0
1,Trabalho,Graduação,Taubaté,46344.0,Espanhol,4,10,1980,4,3,False,False,3Q_4B,1980s,46344.0
2,Estudos,Graduação,São Bernardo,71613.0,Ingles,3,59,1991,4,5,False,False,5Q_4B,1990s,71613.0
3,Viagem,Graduação,São Paulo,22253.544502617802,Espanhol,4,22,2010,1,1,False,True,1Q_1B,2010s,22253.544502617802
4,Trabalho,Doutorado,São Paulo,58293.0,Ingles,3,8,2007,3,4,False,False,4Q_3B,2000s,58293.0
5,Trabalho,Mestrado,São Paulo,60765.025,Espanhol,3,9,1993,4,4,False,True,4Q_4B,1990s,60765.025
6,Viagem,Graduação,São Paulo,55635.0,Espanhol,4,12,1997,2,4,False,False,4Q_2B,1990s,55635.0
7,Estudos,Doutorado,Campinas,33454.0,Ingles,3,45,2011,2,2,False,False,2Q_2B,2010s,33454.0
8,Trabalho,Doutorado,São Paulo,30351.0,Ingles,4,45,2000,1,2,False,False,2Q_1B,2000s,30351.0
9,Trabalho,Doutorado,São Bernardo,5648.0,Ingles,5,12,1976,1,1,False,False,1Q_1B,<1980,5648.0
10,Estudos,Graduação,São Paulo,52247.25135379061,Ingles,4,29,2009,3,1,False,False,1Q_3B,2000s,52247.25135379061
11,Viagem,Ensino Fundamental,Taubaté,7500.0,Espanhol,4,10,2002,2,1,False,False,1Q_2B,2000s,7500.0
12,Estudos,Graduação,São Bernardo,63033.0,Ingles,3,44,1985,4,5,False,False,5Q_4B,1980s,63033.0
13,Trabalho,Mestrado,São Paulo,59354.0,Espanhol,1,4,1978,4,4,False,False,4Q_4B,<1980,59354.0
14,Estudos,Graduação,São Paulo,17323.0,Espanhol,4,16,2013,1,1,False,False,1Q_1B,2010s,17323.0
15,Viagem,Doutorado,São Paulo,82800.0,Ingles,3,14,1972,5,6,False,False,6Q_5B,<1980,82800.0
16,Estudos,Graduação,São Paulo,41850.0,Espanhol,2,14,2006,2,3,False,False,3Q_2B,2000s,41850.0
17,Viagem,Graduação,São Paulo,37760.0,Espanhol,4,14,1972,2,2,False,False,2Q_2B,<1980,37760.0
18,Trabalho,Mestrado,São Paulo,76995.0,Ingles,4,17,1975,5,6,False,False,6Q_5B,<1980,76995.0
19,Trabalho,Ensino Médio,São Paulo,33812.0,Espanhol,4,5,2011,2,2,True,False,2Q_2B,2010s,33812.0
20,Estudos,Graduação,São Paulo,37040.0,Espanhol,2,17,2008,2,2,False,False,2Q_2B,2000s,37040.0
21,Estudos,Graduação,São Paulo,2447.0,Espanhol,1,3,2005,1,1,False,False,1Q_1B,2000s,2447.0
22,Trabalho,Doutorado,São Paulo,58607.0,Ingles,2,11,1975,4,4,False,False,4Q_4B,<1980,58607.0
23,Trabalho,Doutorado,São Paulo,65324.0,Mandarim,4,92,1980,4,5,False,False,5Q_4B,1980s,65324.0
24,Viagem,Graduação,São Paulo,40689.0,Espanhol,1,13,1977,2,3,False,False,3Q_2B,<1980,40689.0
25,Trabalho,Graduação,São Bernardo,18589.0,Espanhol,2,21,1995,1,1,False,False,1Q_1B,1990s,18589.0
26,Viagem,Graduação,São Paulo,53359.0,Ingles,2,5,2002,3,4,False,False,4Q_3B,2000s,53359.0
27,Estudos,Graduação,São Paulo,52247.25135379061,Ingles,3,10,2012,3,1,False,False,1Q_3B,2010s,52247.25135379061
28,Estudos,Graduação,São Paulo,38360.0,Espanhol,4,5,2015,2,2,False,False,2Q_2B,2010s,38360.0
29,Trabalho,Doutorado,São Paulo,84618.0,Mandarim,5,89,1991,4,6,False,False,6Q_4B,1990s,84618.0
30,Viagem,Mestrado,São Paulo,10979.0,Espanhol,4,7,2015,1,1,False,False,1Q_1B,2010s,10979.0
31,Trabalho,Mestrado,São Paulo,38620.0,Espanhol e Ingles,2,36,1989,2,2,False,False,2Q_2B,1980s,38620.0
32,Estudos,Graduação,São Paulo,40548.0,Espanhol,1,10,1996,1,3,False,False,3Q_1B,1990s,40548.0
33,Estudos,Doutorado,Campinas,46610.0,Ingles,2,2,1978,4,3,False,False,3Q_4B,<1980,46610.0
34,Trabalho,Mestrado,Taubaté,68657.0,Espanhol,2,7,1972,5,5,False,False,5Q_5B,<1980,68657.0
35,Trabalho,Mestrado,São Bernardo,49389.0,Mandarim,5,93,1977,3,3,False,False,3Q_3B,<1980,49389.0
36,Trabalho,Doutorado,São Paulo,67353.0,Ingles,2,21,1996,4,5,False,False,5Q_4B,1990s,67353.0
37,Estudos,Ensino Médio,São Paulo,23718.0,Ingles,1,8,2002,1,1,False,False,1Q_1B,2000s,23718.0
38,Estudos,Graduação,São Paulo,42429.0,Espanhol,2,2,1999,2,3,False,False,3Q_2B,1990s,42429.0
39,Trabalho,Doutorado,São Paulo,48948.0,Mandarim,4,98,1969,3,3,False,False,3Q_3B,<1980,48948.0
40,Estudos,Graduação,São Paulo,80011.0,Espanhol,1,10,2006,5,6,False,False,6Q_5B,2000s,80011.0
41,Trabalho,Mestrado,São Paulo,20559.0,Espanhol,1,5,2011,1,1,False,False,1Q_1B,2010s,20559.0
42,Trabalho,Graduação,São Paulo,21994.0,Espanhol,2,12,1983,1,1,False,False,1Q_1B,1980s,21994.0
43,Trabalho,Doutorado,Campinas,52247.25135379063,Ingles,1,24,1985,3,1,False,True,1Q_3B,1980s,52247.25135379063
44,Viagem,Mestrado,São Paulo,22253.544502617802,Espanhol,4,5,2001,1,1,False,True,1Q_1B,2000s,22253.544502617802
