ID_Cliente,Motivo,Education,Cidade,Renda_anual,Aulas,NPS,Num_Aulas,Ano_de_nascimento,Banheiros_na_casa,Quartos_na_casa,motivo_na,renda_na,Quartos_Banheiros,faixa_idade
0,Viagem,Graduação,São Paulo,58138.0,Ingles,4,19,1983,3,4,False,False,4Q_3B,1980s
1,Trabalho,Graduação,Taubaté,46344.0,Espanhol,4,10,1980,4,3,False,False,3Q_4B,1980s
3,Viagem,Graduação,São Paulo,,Espanhol,4,22,2010,1,1,False,True,1Q_1B,2010s
4,Trabalho,Doutorado,São Paulo,58293.0,Ingles,3,8,2007,3,4,False,False,4Q_3B,2000s
5,Trabalho,Mestrado,São Paulo,,Espanhol,3,9,1993,4,4,False,True,4Q_4B,1990s
6,Viagem,Graduação,São Paulo,55635.0,Espanhol,4,12,1997,2,4,False,False,4Q_2B,1990s
9,Trabalho,Doutorado,São Bernardo,5648.0,Ingles,5,12,1976,1,1,False,False,1Q_1B,<1980
10,Estudos,Graduação,São Paulo,52247.25135379061,Ingles,4,29,2009,3,1,False,False,1Q_3B,2000s
11,Viagem,Ensino Fundamental,Taubaté,7500.0,Espanhol,4,10,2002,2,1,False,False,1Q_2B,2000s
13,Trabalho,Mestrado,São Paulo,59354.0,Espanhol,1,4,1978,4,4,False,False,4Q_4B,<1980
14,Estudos,Graduação,São Paulo,17323.0,Espanhol,4,16,2013,1,1,False,False,1Q_1B,2010s
15,Viagem,Doutorado,São Paulo,82800.0,Ingles,3,14,1972,5,6,False,False,6Q_5B,<1980
16,Estudos,Graduação,São Paulo,41850.0,Espanhol,2,14,2006,2,3,False,False,3Q_2B,2000s
17,Viagem,Graduação,São Paulo,37760.0,Espanhol,4,14,1972,2,2,False,False,2Q_2B,<1980
18,Trabalho,Mestrado,São Paulo,76995.0,Ingles,4,17,1975,5,6,False,False,6Q_5B,<1980
19,Estudos,Ensino Médio,São Paulo,33812.0,Espanhol,4,5,2011,2,2,True,False,2Q_2B,2010s
20,Estudos,Graduação,São Paulo,37040.0,Espanhol,2,17,2008,2,2,False,False,2Q_2B,2000s
21,Estudos,Graduação,São Paulo,2447.0,Espanhol,1,3,2005,1,1,False,False,1Q_1B,2000s
22,Trabalho,Doutorado,São Paulo,58607.0,Ingles,2,11,1975,4,4,False,False,4Q_4B,<1980
24,Viagem,Graduação,São Paulo,40689.0,Espanhol,1,13,1977,2,3,False,False,3Q_2B,<1980
25,Trabalho,Graduação,São Bernardo,18589.0,Espanhol,2,21,1995,1,1,False,False,1Q_1B,1990s
26,Viagem,Graduação,São Paulo,53359.0,Ingles,2,5,2002,3,4,False,False,4Q_3B,2000s
27,Estudos,Graduação,São Paulo,52247.25135379061,Ingles,3,10,2012,3,1,False,False,1Q_3B,2010s
28,Estudos,Graduação,São Paulo,38360.0,Espanhol,4,5,2015,2,2,False,False,2Q_2B,2010s
30,Viagem,Mestrado,São Paulo,10979.0,Espanhol,4,7,2015,1,1,False,False,1Q_1B,2010s
31,Trabalho,Mestrado,São Paulo,38620.0,Espanhol e Ingles,2,36,1989,2,2,False,False,2Q_2B,1980s
32,Estudos,Graduação,São Paulo,40548.0,Espanhol,1,10,1996,1,3,False,False,3Q_1B,1990s
33,Estudos,Doutorado,Campinas,46610.0,Ingles,2,2,1978,4,3,False,False,3Q_4B,<1980
34,Trabalho,Mestrado,Taubaté,68657.0,Espanhol,2,7,1972,5,5,False,False,5Q_5B,<1980
36,Trabalho,Doutorado,São Paulo,67353.0,Ingles,2,21,1996,4,5,False,False,5Q_4B,1990s
37,Estudos,Ensino Médio,São Paulo,23718.0,Ingles,1,8,2002,1,1,False,False,1Q_1B,2000s
38,Estudos,Graduação,São Paulo,42429.0,Espanhol,2,2,1999,2,3,False,False,3Q_2B,1990s
40,Estudos,Graduação,São Paulo,80011.0,Espanhol,1,10,2006,5,6,False,False,6Q_5B,2000s
41,Trabalho,Mestrado,São Paulo,20559.0,Espanhol,1,5,2011,1,1,False,False,1Q_1B,2010s
42,Trabalho,Graduação,São Paulo,21994.0,Espanhol,2,12,1983,1,1,False,False,1Q_1B,1980s
